source,target
aa,ɑ
ae,æ
ay,aɪ
aw,aʊ
ao,ɔ
oy,ɔɪ
ow,oʊ
eh,ɛ
ey,eɪ
er,ɚ
ah,ʌ
uw,u
uh,ʊ
ih,ɪ
iy,i
m,m
n,n
en,n̩
ng,ŋ
eng,ŋ̩
l,l
el,ḷ
dx,ɾ
nx,ɾ̃
tq,ʔ
er,ɹ̩
em,m̩
aan,ɑ̃
aen,æ̃
ayn,ãɪ̃
awn,ãʊ̃
aon,ɔ̃
oyn,ɔ̃ɪ̃
own,õʊ̃
ehn,ɛ̃
eyn,ẽɪ̃
ern,ɚ̃
ahn,ʌ̃
uwn,ũ
uhn,ʊ̃
ihn,ɪ̃
iyn,ĩ
t,t
d,d
ch,tʃ
jh,dʒ
th,θ
dh,ð
sh,ʃ
zh,ʒ
s,s
z,z
k,k
g,g
p,p
b,b
f,f
v,v
w,w
hh,h
y,j
r,ɹ
